Severity	Code	Description	Project	File	Line	Suppression State
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(repeated_field.obj)	1	
Error	LNK1169	one or more multiply defined symbols found	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\bin\Release\Observer.exe	1	
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(int128.obj)	1	
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(generated_message_util.obj)	1	
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(text_format.obj)	1	
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(message_lite.obj)	1	
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(common.obj)	1	
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(coded_stream.obj)	1	
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(arena.obj)	1	
Error	LNK2038	mismatch detected for 'RuntimeLibrary': value 'MT_StaticRelease' doesn't match value 'MD_DynamicRelease' in ArgParser.obj	Observer	C:\Users\VonRansak\Bots\sc2autoobserver\build\src\libprotobuf.lib(parse_context.obj)	1	
